listing_id,date
14825428,2016-12-01
14825428,2016-12-04
14825428,2016-12-08
14825428,2016-12-09
14825428,2016-12-29
14825428,2016-12-30
14825428,2017-01-30
14825428,2017-02-10
14825428,2017-02-12
14825428,2017-02-13
14825428,2017-02-17
14825428,2017-02-20
14825428,2017-02-22
14825428,2017-03-26
14825428,2017-03-29
14825428,2017-04-01
14825428,2017-04-05
14825428,2017-04-10
14825428,2017-04-12
14825428,2017-04-13
14825428,2017-04-21
14825428,2017-04-24
14825428,2017-04-30
14825428,2017-05-05
14825428,2017-05-06
14825428,2017-05-09
14825428,2017-05-12
14825428,2017-05-15
14825428,2017-05-20
14825428,2017-05-21
14825428,2017-05-23
14825428,2017-05-26
14825428,2017-05-28
14825428,2017-05-31
1557077,2013-09-20
1557077,2014-04-07
1557077,2014-04-15
1557077,2014-09-09
1557077,2015-01-07
1557077,2015-03-17
1557077,2015-05-04
1557077,2015-06-06
1557077,2015-06-20
1557077,2015-08-08
1557077,2015-08-18
1557077,2015-09-19
1557077,2015-10-31
1557077,2015-11-23
1557077,2016-01-09
1557077,2016-02-14
1557077,2016-07-18
1557077,2016-10-18
1557077,2016-11-21
1557077,2016-11-29
1557077,2017-01-22
1557077,2017-03-10
12307577,2016-05-04
12307577,2016-05-15
12307577,2016-05-15
12307577,2016-05-21
12307577,2016-05-24
12307577,2016-06-01
12307577,2016-06-02
12307577,2016-06-09
12307577,2016-07-03
12307577,2016-07-12
12307577,2016-07-13
12307577,2016-07-23
12307577,2016-07-25
12307577,2016-07-30
12307577,2016-08-01
12307577,2016-08-06
12307577,2016-08-27
12307577,2016-08-29
12307577,2016-09-04
12307577,2016-09-12
12307577,2016-09-30
12307577,2016-10-23
12307577,2016-11-06
12307577,2016-11-20
12307577,2017-03-05
12307577,2017-03-25
12307577,2017-05-18
15406552,2016-11-28
15406552,2016-12-06
15406552,2017-01-27
15406552,2017-02-06
15406552,2017-03-02
15406552,2017-03-09
15406552,2017-03-19
15406552,2017-03-24
15406552,2017-03-26
15406552,2017-03-30
15406552,2017-04-14
15406552,2017-04-17
15406552,2017-04-20
15406552,2017-05-07
15406552,2017-05-24
18330068,2017-05-24
18330068,2017-05-28
18974278,2017-06-02
6140766,2015-06-16
6140766,2015-06-22
6140766,2015-06-29
6140766,2015-08-05
6140766,2015-08-19
6140766,2015-09-08
6140766,2015-09-12
6140766,2015-10-07
6140766,2015-10-16
6140766,2015-10-20
6140766,2016-01-04
6140766,2016-02-15
6140766,2016-04-08
6140766,2016-04-28
6140766,2016-05-01
6140766,2016-05-24
6140766,2016-05-31
6140766,2016-06-13
6140766,2016-06-20
6140766,2016-06-27
6140766,2016-07-04
6140766,2016-07-22
6140766,2016-07-26
6140766,2016-08-01
6140766,2017-01-02
6140766,2017-03-08
6140766,2017-04-27
6140766,2017-05-14
6140766,2017-05-28
13262638,2016-06-02
13262638,2016-06-07
13262638,2016-06-14
13262638,2016-07-17
13262638,2016-07-28
13262638,2016-08-02
13262638,2016-08-14
13262638,2016-08-23
13262638,2016-08-30
13262638,2016-09-06
13262638,2016-09-16
13262638,2016-09-27
13262638,2016-10-04
13262638,2016-10-17
13262638,2016-11-11
13262638,2016-11-14
13262638,2016-12-17
13262638,2017-01-08
6711842,2015-06-09
6711842,2015-06-29
6711842,2015-10-03
6711842,2015-10-12
6711842,2015-12-16
6711842,2016-01-11
6711842,2016-02-13
6711842,2016-02-18
6711842,2016-03-08
6711842,2016-04-29
6711842,2016-05-06
6711842,2016-05-20
6711842,2016-05-30
6711842,2016-06-07
6711842,2016-07-04
6711842,2016-07-11
6711842,2016-09-27
6711842,2016-09-30
6711842,2016-10-23
6711842,2016-11-23
6711842,2017-02-07
6711842,2017-03-02
6711842,2017-03-04
6711842,2017-03-20
6711842,2017-04-28
6711842,2017-05-03
6711842,2017-05-18
13109597,2017-05-13
13109597,2017-05-28
727514,2012-11-24
727514,2013-01-03
727514,2013-01-10
727514,2013-04-27
727514,2013-05-03
727514,2013-05-06
727514,2013-06-04
727514,2013-06-12
727514,2013-06-25
727514,2013-07-04
727514,2013-07-11
727514,2013-07-15
727514,2013-07-22
727514,2013-07-27
727514,2013-08-05
727514,2013-08-08
727514,2013-08-28
727514,2013-08-31
727514,2013-09-10
727514,2013-11-04
727514,2013-12-06
727514,2014-01-09
727514,2014-04-21
727514,2014-04-26
727514,2014-05-03
727514,2014-06-02
727514,2014-06-06
727514,2014-06-23
727514,2014-07-07
727514,2014-07-14
727514,2014-07-19
727514,2014-07-25
727514,2014-07-28
727514,2014-08-13
727514,2014-08-15
727514,2014-10-29
727514,2014-11-17
727514,2014-12-01
727514,2014-12-28
727514,2014-12-30
727514,2015-03-15
727514,2015-03-30
727514,2015-04-13
727514,2015-05-20
727514,2015-06-04
727514,2015-06-23
727514,2015-07-05
727514,2015-07-13
727514,2015-07-20
727514,2015-07-27
